case_id,variant,eta,y_m,chord_m,cl,airfoil_id,Re,profile_cd_station,profile_lookup_status
raw_best_tier2,smooth_monotone,0.762652390813708,13.0918,0.8218,0.9069,cst_mid2_nsga2_g01_child_0046_9585b968,344311.4799172722,0.01166284738960488,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.801554548392146,13.7596,0.7968,0.8496,cst_tip_nsga2_g04_child_0123_01770232,333837.1710855226,0.009684396980007696,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.8414470274423321,14.4444,0.7701,0.8018,cst_tip_nsga2_g04_child_0123_01770232,322650.6092532141,0.010193659548543045,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.8814967928439137,15.1319,0.7422,0.7615,cst_tip_nsga2_g04_child_0123_01770232,310961.2805969815,0.010165848133378674,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.9138628287088135,15.6875,0.7189,0.7188,cst_tip_nsga2_g04_child_0123_01770232,301199.2247657909,0.02684568751881047,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.9388946602623547,16.1172,0.6999,0.6698,cst_tip_nsga2_g04_child_0123_01770232,293238.75005366124,0.010138667904461425,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.9593418859437439,16.4682,0.6828,0.6076,cst_tip_nsga2_g04_child_0123_01770232,286074.32281274453,0.010153169836800634,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.9752452836959355,16.7412,0.668,0.5259,cst_tip_nsga2_g04_child_0123_01770232,279873.5319843488,0.010202864097116448,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.9873097293899974,16.9483,0.6568,0.414,cst_tip_nsga2_g04_child_0123_01770232,275181.041627725,0.01128215045677286,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.9954187146174884,17.0875,0.6493,0.2683,cst_tip_nsga2_g04_child_0123_01770232,272038.7489782001,0.011349803870474448,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.9994906834925001,17.1574,0.6455,0.094,cst_tip_nsga2_g04_child_0123_01770232,270446.6540357742,0.015346907880035442,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,1.0,17.166143,0.64500409,0.094,cst_tip_nsga2_g04_child_0123_01770232,270238.88145606406,0.015346907880035442,interp_clean_nearest_re
conservative_best_tier2,raw,0.0,0.0,1.258585,1.2137,cst_root_nsga2_g05_child_0019_00cc4dca,527312.3192403018,0.010643713670637284,interp_clean_nearest_re
conservative_best_tier2,raw,0.0006582725076914481,0.0113,1.2579,1.2137,cst_root_nsga2_g05_child_0019_00cc4dca,527025.3231783118,0.010643713670637284,interp_clean_nearest_re
conservative_best_tier2,raw,0.0059128017283789375,0.1015,1.2524,1.2081,cst_root_nsga2_g05_child_0019_00cc4dca,524720.975235327,0.010665905259444481,interp_clean_nearest_re
