case_name,solver,alpha_deg,eta,y_m,chord_m,local_cl,local_cd,local_cm_c4,lprime_proxy,lprime_norm,source
policy_C_conservative_baseline,AVL,4.4223,0.3778952521943884,6.4837,0.9693,1.3567,0.0129,-0.148,1.31504931,0.8151519031301125,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.43429074335272244,7.4513,0.9553,1.3371,0.0134,-0.1476,1.27733163,0.7917720660397051,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.49151386573723294,8.4331,0.9412,1.3123,0.0147,-0.1472,1.23513676,0.765616979442361,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.5433573851515964,9.3226,0.9354,1.258,0.0134,-0.1388,1.1767332,0.7294147072373942,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.5893142317600569,10.1111,0.938,1.1791,0.0098,-0.123,1.1059957999999999,0.6855671299686178,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.6346124704209263,10.8883,0.9405,1.0995,0.007,-0.1075,1.0340797499999999,0.6409889498370299,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.6788033151876158,11.6465,0.9431,1.0243,0.0047,-0.0929,0.96601733,0.5987994967323088,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.7217585415039575,12.3835,0.9488,0.9644,0.0048,-0.0853,0.91502272,0.5671897669109396,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.763041020201196,13.0918,0.9576,0.9186,0.0069,-0.0842,0.87965136,0.5452643294379522,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.8019630013871566,13.7596,0.9659,0.8734,0.0088,-0.083,0.8436170599999999,0.522927959235255,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.8418758086889623,14.4444,0.9373,0.8422,0.0099,-0.083,0.78939406,0.4893170662388365,trimmed_to_CL_req
