kind,variant_id,station_index,beam,y_m,eta,node_x_m,node_z_m,lift_per_span_npm,aero_torque_per_span_nmpm,torque_about_main_per_span_nmpm,applied_lift_fz_n,torque_main_my_n,main_self_weight_fz_n,rear_self_weight_fz_n,load_fx_n,load_fy_n,load_fz_n,load_mx_nm,load_my_nm,load_mz_nm,reaction_fx_n,reaction_fy_n,reaction_fz_n,reaction_mx_raw_nm,reaction_my_raw_nm,reaction_mz_raw_nm,applied_moment_origin_mx_nm,applied_moment_origin_my_nm,applied_moment_origin_mz_nm,reaction_moment_origin_mx_nm,reaction_moment_origin_my_nm,reaction_moment_origin_mz_nm,station_bending_residual_mx_nm,station_torque_residual_my_nm,station_yaw_residual_mz_nm,station_moment_residual_norm_nm,cumulative_bending_residual_mx_nm,cumulative_torque_residual_my_nm,cumulative_yaw_residual_mz_nm,cumulative_moment_residual_norm_nm,source,reaction_resultant_n,reaction_moment_mx_nm,reaction_moment_my_nm,reaction_moment_mz_nm,reaction_moment_norm_nm,applied_force_n,applied_moment_nm,constraint_force_n,constraint_moment_nm,residual_force_n,residual_moment_nm,force_residual_norm_n,moment_residual_norm_nm,pass_threshold_nm
beam_node,baseline,3,rear,0.8728547288135593,0.05084745762711864,0.8607859391404544,0.08465975470349857,75.49452524160328,-45.86439675898862,-45.86439675898862,0.0,0.0,0.0,-0.5171027430680112,0.0,0.0,-0.5171027430680112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4513555745693765,0.2826445664849839,0.0,0.0,0.0,0.0,-0.4513555745693765,0.2826445664849839,0.0,0.5325502846289132,,,,,,,,,,,,,,,,,,,
station_combined,baseline,3,combined,0.8728547288135593,0.05084745762711864,,,75.49452524160328,-45.86439675898862,-45.86439675898862,,,,,,,,,,,,,,,,,17.276633378673868,-12.924178464851602,0.0,0.0,0.0,0.0,17.276633378673868,-12.924178464851602,0.0,21.57583022487065,-161.22083252203132,-221.83490710469135,2110.8838372171394,2128.6224317792476,,,,,,,,,,,,,,,
beam_node,baseline,4,main,1.1638063050847458,0.06779661016949153,0.30516697492402595,0.09497579631725198,75.20504776097279,-45.84877275004297,-45.84877275004297,21.8810271896049,-13.339772701724424,-1.6548966371759048,0.0,0.0,0.0,20.226130552428994,0.0,-13.339772701724424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.539298264384076,-13.157205598208504,0.0,0.0,0.0,-0.0,23.539298264384076,-13.157205598208504,0.0,26.966843010133097,,,,,,,,,,,,,,,,,,,
beam_node,baseline,4,rear,1.1638063050847458,0.06779661016949153,0.8544675297872726,0.09115549436886483,75.20504776097279,-45.84877275004297,-45.84877275004297,0.0,0.0,0.0,-0.5171027430680113,0.0,0.0,-0.5171027430680113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6018074327591689,0.27937729967662706,0.0,0.0,0.0,0.0,-0.6018074327591689,0.27937729967662706,0.0,0.6634936787180308,,,,,,,,,,,,,,,,,,,
station_combined,baseline,4,combined,1.1638063050847458,0.06779661016949153,,,75.20504776097279,-45.84877275004297,-45.84877275004297,,,,,,,,,,,,,,,,,22.937490831624906,-12.877828298531877,0.0,0.0,0.0,0.0,22.937490831624906,-12.877828298531877,0.0,26.305264631577938,-138.28334169040642,-234.71273540322323,2110.8838372171394,2128.3897493114564,,,,,,,,,,,,,,,
beam_node,baseline,5,main,1.4547578813559323,0.0847457627118644,0.3029104001550324,0.10088634130521873,74.91019232489498,-45.83123635878195,-45.83123635878195,21.795238535705924,-13.334670461044917,-1.6548966371759042,0.0,0.0,0.0,20.140341898530018,0.0,-13.334670461044917,0.0,-91.76027239747127,-937.6709511830364,-179.59596246670404,-115.67782459950752,96.24657000917725,-513.9577251202687,29.299321110089643,-13.107429524209287,0.0,-117.97902226625285,-100.97501276251383,144.06860251587753,-88.67970115616322,-114.08244228672311,144.06860251587753,204.04571856848122,,,,,,,,,,,,,,,,,,,
beam_node,baseline,5,rear,1.4547578813559323,0.0847457627118644,0.8481491204340906,0.0976534551453268,74.91019232489498,-45.83123635878195,-45.83123635878195,0.0,0.0,0.0,-0.5171027430680111,0.0,0.0,-0.5171027430680111,0.0,0.0,0.0,91.76027239747127,937.6709511830364,179.59596246670404,112.64644115889519,1.9727532481159429,2.703215654382575,-0.7522592909489608,0.2761100328682699,0.0,124.04178914747752,-95.46363375207255,367.18590695000853,123.28952985652856,-95.18752371920428,367.18590695000853,398.8564442336845,,,,,,,,,,,,,,,,,,,
station_combined,baseline,5,combined,1.4547578813559323,0.0847457627118644,,,74.91019232489498,-45.83123635878195,-45.83123635878195,,,,,,,,,,,,,,,,,28.547061819140684,-12.831319491341018,0.0,6.062766881224661,-196.43864651458637,511.25450946588603,34.60982870036534,-209.2699660059274,511.25450946588603,553.5096497478561,-103.67351299004108,-443.98270140915065,2622.1383466830257,2661.4804800320917,,,,,,,,,,,,,,,
beam_node,baseline,6,main,1.7457094576271186,0.10169491525423728,0.3006538253860389,0.10680743761845354,74.6058081452409,-45.810311579334886,-45.810311579334886,21.706677478843556,-13.328582363481667,-1.6548966371759042,0.0,0.0,0.0,20.05178084166765,0.0,-13.328582363481667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.00458345756548,-13.057092307157498,0.0,0.0,0.0,-0.0,35.00458345756548,-13.057092307157498,0.0,37.36052090851114,,,,,,,,,,,,,,,,,,,
beam_node,baseline,6,rear,1.7457094576271186,0.10169491525423728,0.8418307110809089,0.10415363724795756,74.6058081452409,-45.810311579334886,-45.810311579334886,0.0,0.0,0.0,-0.5171027430680111,0.0,0.0,-0.5171027430680111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9027111491387528,0.2728427660599131,0.0,0.0,0.0,0.0,-0.9027111491387528,0.2728427660599131,0.0,0.9430432618764805,,,,,,,,,,,,,,,,,,,
